intValue: 0, depth: 0, token_str: new_node, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 1, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: 0, depth: 0, token_str: node, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 2, token_str: value, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 2, is_last: False
intValue: (, depth: 0, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 2, token_str: node, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: False
intValue: (, depth: 0, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: None, depth: 1, token_str: LXB_STATUS_ERROR_WRONG_ARGS, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: True, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 0, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 0, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: (, depth: 0, token_str: (, in_loop: False, in_conditional: False, is_var: False, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: __x, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
intValue: 0, depth: 0, token_str: __x, in_loop: False, in_conditional: False, is_var: True, is_callexpr: False, is_enum: False, error_func_called: False, callexprs_in_block: 0, is_last: True
